qid,wd_label,register_id,register_title,register_type,distance_m,label_overlap,confidence
Q106212769,Войнишки паметник в село Желява,668,На загиналите във войните за национално обединение от с. Желява. Военен паметник,Паметник,21,1,high
Q106241174,Войнишки паметник във Враждебна,652,На загиналите във войните за национално обединение от с. Стара Враждебна. Военен паметник,Паметник,18,2,high
Q106574300,Войнишки паметник в село Доброславци,676,"На загиналите във войните за национално обединение и във Втората световна война, заключителна фаза от с. Доброславци. Военен паметник",Паметник,2,1,high
Q106574515,Войнишки паметник в село Мировяне,674,На загиналите във войните за национално обединение от с. Мировяне. Военен паметник,Паметник,0,1,high
Q108551736,Паметник на Одринската епопея,533,На опълченците от 58 пеши Одрински полк (паметник на Одринската епопея). Военен паметник. Архитектурно-скулптурен ансамбъл,Паметник,2,2,high
Q113642743,Бюст-паметник на Тодор Каблешков,622,"Тодор Каблешков, бюст-паметник, Борисова градина",Паметник,5,2,high
Q114452364,Паметник на Даме Груев (Борисова градина),587,"Даме Груев, бюст-паметник, Борисова градина",Паметник,0,4,high
Q114452411,Паметник на Гоце Делчев (Борисова градина),586,"Гоце Делчев, бюст-паметник, Борисова градина. Военен паметник",Паметник,1,4,high
Q114453695,Паметник на Тодор Александров (Борисова градина),621,"Тодор Александров, бюст-паметник, Борисова градина",Паметник,0,4,high
Q114453732,Паметник на Иван Михайлов,620,"Иван Михайлов, бюст-паметник, Борисова градина",Паметник,1,2,high
Q119685955,Паметник на загиналите за свободата на Македония и Одринско (София),914,"„Сто и двадесет години от основаването на националноосвободителна организация на българите в Македония, Беломорска Тракия и Одринско”. Военен паметник",Паметник,21,2,high
Q12283163,1 средно училище „Пенчо Славейков“,1156,"Св. Иван Рилски, релеф, Първо СОУ „Пенчо Славейков”",Паметна Плоча,44,2,high
Q12286470,Мемориал на жертвите на комунистическия режим в България,516,"В памет на жертвите на „комунизма“, паметник – мемориал, архитектурен ансамбъл, НДК",Паметник,35,1,high
Q125205084,Паметник на св. св. Кирил и Методий,116,"Св. св. Кирил и Методий, паметник, скулптурен",Паметник,4,2,high
Q125205981,Паметник на генерал Гурко,890,"Йосиф Гурко, ген. Паметник на Освободителната война - бюст",Паметник,2,1,high
Q125209087,Скулптурна фигура „Лъв“,815,"Скулптурна фигура „Лъв”, МВР",Скулптура,15,3,high
Q130295307,надгробен паметник на редник павел красов,822,"Павел Красов, лобно място. Паметник на Освободителната война",Свободно-Стоящ Паметен Знак,38,2,high
Q130295308,паметен знак,560,"„Път на руската войска“, 82 ОУ „Васил Априлов"", свободностоящ паметен знак. Паметник на Освободителната война",Свободно-Стоящ Паметен Знак,13,2,high
Q130295309,паметна плоча в Казичене,887,„Посрещане на руските войни-освободители в Казичене”. Паметник на Освободителната война,Паметник,0,1,high
Q130295312,Кръста,1180,"„Кръста”, Лозенец, свободностоящ паметен знак",Свободно-Стоящ Паметен Знак,7,1,high
Q130295313,паметна плоча на генерал Едуард Иванович Тотлебен,407,"Едуард Тотлебен, ген., паметна плоча с релеф. Паметник на Освободителната война",Паметна Плоча,28,3,high
Q130295314,паметна плоча на генерал Михаил Дмитриевич Скобелев,406,"Михаил Скобелев, Ген., паметна плоча с релеф. Паметник на Освободителната война",Паметна Плоча,6,3,high
Q130295315,паметна плоча на Николай Иванович Пирогов,405,"Пирогов Н. И., паметна плоча с орелеф. Паметник на Освободителната война",Паметна Плоча,26,2,high
Q130295316,паметник на генерал-майор Пьотър Черевин и есаул Пьотър Степанович Бариш - Тищенко,989,"Пьотър Черевин, ген., Бариш Тищенко, есаул - освободители на София. Паметник на Освободителната война",Паметник,8,5,high
Q131360828,Паметник на Петко и Пенчо Славейкови,166,"Петко и Пенчо Славейкови, паметник, скулптурен",Паметник,48,3,high
Q132678574,Лъвове (Университетска библиотека),1022,"Скулптурни фигури „Лъвове”, Библиотека на СУ „Св. Климент Охридски”",Скулптура,10,2,high
Q140589273,Паметникът на Христо Ботев,140,"Христо Ботев, бюст-паметник",Паметник,1,2,high
Q140589275,"Паметник на загиналите в Балканската война в градинката ""Св. Никола""",520,"На загиналите във Втората световна война, заключителна фаза от кв. „Три Кладенци” и на загиналите български войници в мирно време при изпълнение на служебния си дълг. Военен паметник",Паметник,74,2,high
Q140778177,Колона на випуските,850,"„Колона на випуските”, паметник, скулптурен, Военна Академия",Паметник,87,2,high
Q14550946,Статуя на София,663,"„София“, монументална статуя",Скулптура,5,1,high
Q1703313,Паметник на Васил Левски,414,"Васил Левски, паметник, архитектурен ансамбъл",Паметник,0,2,high
Q19705297,Докторски паметник,561,Паметник на загиналите през Освободителната война (1877-1878) медицински чинове. („Докторски паметник“.) Архитектурен ансамбъл,Паметник,10,1,high
Q2037523,Паметник на Цар Освободител,108,"Цар Освободител Александър II, паметник, архитектурно-скулптурен ансамбъл",Паметник,19,2,high
Q2042926,Руски паметник,422,"Руски паметник, архитектурен ансамбъл. Паметник на Освободителната война",Паметник,15,1,high
Q25386659,Паметник на Стефан Стамболов,121,"Стефан Стамболов, паметник, скулптурен",Паметник,8,2,high
Q4400745,Руски гвардейски паметник,562,"Гвардейски паметник „Каталей и Философов"". Паметник на Освободителната война - гроб",Паметник,4,1,high
